"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461801308202521045_id.ret"
""
"Cadastrado título novo: 9000008765 2664 - CONDOMINIO RESIDENCI 29/08/2025 RG 247,92 0"
"Cadastrado título novo: 9000008766 3543 - CONDOMINIO CENTRO PO 29/08/2025 RG 193,62 0"
"Pago título: 2500001080 5435 - ASSOCIACAO DOS PROPR 31/07/2025 LQ 292,77 299,88"
"Pago título: 2500001649 5551 - ASSOCIACAO DOS MORAD 31/07/2025 LQ 243,97 249,89"
"Pago título: 2500003105 1649 - CONDOMINIO CASA GRAN 29/08/2025 LQ 210,79 210,79"
"Pago título: 2500003936 3755 - INDUSTRIAS XHARA LTD 28/11/2025 LQ 2265,13 2265,13"
"Pago título: 2500003937 3755 - INDUSTRIAS XHARA LTD 19/12/2025 LQ 2265,13 2265,13"
"Pago título: 2500004675 968 - SUZANO PAPEL E CELULO 29/08/2025 LQ 931,2 931,2"
"Pago título: 2500005326 3231 - ATMOSFERA GESTAO E H 29/08/2025 LQ 612,48 612,48"
"Pago título: 2500007216 3053 - JR GOMES IMOBILIARIA 29/08/2025 LQ 271,86 271,86"
"Pago título: 9000008762 4313 - AGUINALDO DA CONCEIC 29/08/2025 LQ 196,54 196,54"
